BEEID,TEST,CHOICE,CONDITION,TRIAL
1,3v1,1,SA,1
1,3v1,1,SA,2
1,3v1,1,SA,3
1,3v1,0,SA,4
1,3v1,0,SA,5
1,3v1,1,SA,6
1,3v1,1,SA,7
1,3v1,1,SA,8
1,3v1,1,SA,9
1,3v1,1,SA,10
1,3v2,1,SA,1
1,3v2,1,SA,2
1,3v2,0,SA,3
1,3v2,1,SA,4
1,3v2,1,SA,5
1,3v2,1,SA,6
1,3v2,0,SA,7
1,3v2,0,SA,8
1,3v2,0,SA,9
1,3v2,1,SA,10
1,3v4,1,SA,1
1,3v4,0,SA,2
1,3v4,1,SA,3
1,3v4,0,SA,4
1,3v4,1,SA,5
1,3v4,0,SA,6
1,3v4,1,SA,7
1,3v4,1,SA,8
1,3v4,1,SA,9
1,3v4,1,SA,10
1,3v5,0,SA,1
1,3v5,0,SA,2
1,3v5,1,SA,3
1,3v5,1,SA,4
1,3v5,0,SA,5
1,3v5,0,SA,6
1,3v5,1,SA,7
1,3v5,1,SA,8
1,3v5,0,SA,9
1,3v5,0,SA,10
2,3v1,0,SA,1
2,3v1,0,SA,2
2,3v1,1,SA,3
2,3v1,0,SA,4
2,3v1,1,SA,5
2,3v1,1,SA,6
2,3v1,0,SA,7
2,3v1,1,SA,8
2,3v1,1,SA,9
2,3v1,0,SA,10
2,3v2,1,SA,1
2,3v2,1,SA,2
2,3v2,0,SA,3
2,3v2,1,SA,4
2,3v2,1,SA,5
2,3v2,1,SA,6
2,3v2,1,SA,7
2,3v2,1,SA,8
2,3v2,1,SA,9
2,3v2,0,SA,10
2,3v4,0,SA,1
2,3v4,0,SA,2
2,3v4,1,SA,3
2,3v4,0,SA,4
2,3v4,0,SA,5
2,3v4,0,SA,6
2,3v4,1,SA,7
2,3v4,0,SA,8
2,3v4,0,SA,9
2,3v4,0,SA,10
2,3v5,1,SA,1
2,3v5,0,SA,2
2,3v5,1,SA,3
2,3v5,0,SA,4
2,3v5,0,SA,5
2,3v5,1,SA,6
2,3v5,1,SA,7
2,3v5,0,SA,8
2,3v5,0,SA,9
2,3v5,1,SA,10
3,3v1,1,SA,1
3,3v1,0,SA,2
3,3v1,0,SA,3
3,3v1,0,SA,4
3,3v1,0,SA,5
3,3v1,1,SA,6
3,3v1,1,SA,7
3,3v1,1,SA,8
3,3v1,1,SA,9
3,3v1,1,SA,10
3,3v2,0,SA,1
3,3v2,1,SA,2
3,3v2,1,SA,3
3,3v2,0,SA,4
3,3v2,1,SA,5
3,3v2,0,SA,6
3,3v2,0,SA,7
3,3v2,1,SA,8
3,3v2,0,SA,9
3,3v2,0,SA,10
3,3v4,0,SA,1
3,3v4,1,SA,2
3,3v4,1,SA,3
3,3v4,0,SA,4
3,3v4,1,SA,5
3,3v4,0,SA,6
3,3v4,1,SA,7
3,3v4,0,SA,8
3,3v4,1,SA,9
3,3v4,1,SA,10
3,3v5,1,SA,1
3,3v5,1,SA,2
3,3v5,0,SA,3
3,3v5,0,SA,4
3,3v5,0,SA,5
3,3v5,0,SA,6
3,3v5,0,SA,7
3,3v5,0,SA,8
3,3v5,1,SA,9
3,3v5,0,SA,10
4,3v1,0,SA,1
4,3v1,1,SA,2
4,3v1,0,SA,3
4,3v1,1,SA,4
4,3v1,1,SA,5
4,3v1,1,SA,6
4,3v1,1,SA,7
4,3v1,1,SA,8
4,3v1,0,SA,9
4,3v1,1,SA,10
4,3v2,0,SA,1
4,3v2,1,SA,2
4,3v2,0,SA,3
4,3v2,0,SA,4
4,3v2,0,SA,5
4,3v2,1,SA,6
4,3v2,0,SA,7
4,3v2,1,SA,8
4,3v2,0,SA,9
4,3v2,0,SA,10
4,3v4,1,SA,1
4,3v4,0,SA,2
4,3v4,0,SA,3
4,3v4,0,SA,4
4,3v4,1,SA,5
4,3v4,1,SA,6
4,3v4,1,SA,7
4,3v4,1,SA,8
4,3v4,1,SA,9
4,3v4,0,SA,10
4,3v5,1,SA,1
4,3v5,1,SA,2
4,3v5,1,SA,3
4,3v5,0,SA,4
4,3v5,0,SA,5
4,3v5,1,SA,6
4,3v5,0,SA,7
4,3v5,1,SA,8
4,3v5,0,SA,9
4,3v5,1,SA,10
5,3v1,0,SA,1
5,3v1,0,SA,2
5,3v1,0,SA,3
5,3v1,0,SA,4
5,3v1,0,SA,5
5,3v1,0,SA,6
5,3v1,1,SA,7
5,3v1,1,SA,8
5,3v1,0,SA,9
5,3v1,1,SA,10
5,3v2,1,SA,1
5,3v2,0,SA,2
5,3v2,0,SA,3
5,3v2,0,SA,4
5,3v2,0,SA,5
5,3v2,0,SA,6
5,3v2,0,SA,7
5,3v2,0,SA,8
5,3v2,0,SA,9
5,3v2,1,SA,10
5,3v4,0,SA,1
5,3v4,0,SA,2
5,3v4,0,SA,3
5,3v4,1,SA,4
5,3v4,1,SA,5
5,3v4,0,SA,6
5,3v4,1,SA,7
5,3v4,0,SA,8
5,3v4,1,SA,9
5,3v4,0,SA,10
5,3v5,1,SA,1
5,3v5,1,SA,2
5,3v5,1,SA,3
5,3v5,1,SA,4
5,3v5,1,SA,5
5,3v5,1,SA,6
5,3v5,1,SA,7
5,3v5,1,SA,8
5,3v5,0,SA,9
5,3v5,0,SA,10
6,3v1,1,SA,1
6,3v1,0,SA,2
6,3v1,1,SA,3
6,3v1,0,SA,4
6,3v1,0,SA,5
6,3v1,0,SA,6
6,3v1,0,SA,7
6,3v1,1,SA,8
6,3v1,1,SA,9
6,3v1,1,SA,10
6,3v2,1,SA,1
6,3v2,1,SA,2
6,3v2,1,SA,3
6,3v2,1,SA,4
6,3v2,1,SA,5
6,3v2,1,SA,6
6,3v2,0,SA,7
6,3v2,0,SA,8
6,3v2,0,SA,9
6,3v2,1,SA,10
6,3v4,1,SA,1
6,3v4,1,SA,2
6,3v4,0,SA,3
6,3v4,1,SA,4
6,3v4,0,SA,5
6,3v4,0,SA,6
6,3v4,1,SA,7
6,3v4,1,SA,8
6,3v4,0,SA,9
6,3v4,0,SA,10
6,3v5,0,SA,1
6,3v5,0,SA,2
6,3v5,1,SA,3
6,3v5,0,SA,4
6,3v5,1,SA,5
6,3v5,1,SA,6
6,3v5,0,SA,7
6,3v5,1,SA,8
6,3v5,0,SA,9
6,3v5,0,SA,10
7,3v1,0,SA,1
7,3v1,0,SA,2
7,3v1,0,SA,3
7,3v1,0,SA,4
7,3v1,0,SA,5
7,3v1,0,SA,6
7,3v1,1,SA,7
7,3v1,1,SA,8
7,3v1,0,SA,9
7,3v1,1,SA,10
7,3v2,1,SA,1
7,3v2,1,SA,2
7,3v2,1,SA,3
7,3v2,1,SA,4
7,3v2,1,SA,5
7,3v2,1,SA,6
7,3v2,1,SA,7
7,3v2,1,SA,8
7,3v2,1,SA,9
7,3v2,0,SA,10
7,3v4,0,SA,1
7,3v4,1,SA,2
7,3v4,1,SA,3
7,3v4,0,SA,4
7,3v4,0,SA,5
7,3v4,0,SA,6
7,3v4,1,SA,7
7,3v4,1,SA,8
7,3v4,1,SA,9
7,3v4,1,SA,10
7,3v5,0,SA,1
7,3v5,0,SA,2
7,3v5,0,SA,3
7,3v5,0,SA,4
7,3v5,1,SA,5
7,3v5,1,SA,6
7,3v5,0,SA,7
7,3v5,0,SA,8
7,3v5,0,SA,9
7,3v5,1,SA,10
8,3v1,1,SA,1
8,3v1,1,SA,2
8,3v1,1,SA,3
8,3v1,0,SA,4
8,3v1,1,SA,5
8,3v1,1,SA,6
8,3v1,0,SA,7
8,3v1,1,SA,8
8,3v1,0,SA,9
8,3v1,0,SA,10
8,3v2,0,SA,1
8,3v2,0,SA,2
8,3v2,0,SA,3
8,3v2,1,SA,4
8,3v2,0,SA,5
8,3v2,0,SA,6
8,3v2,1,SA,7
8,3v2,0,SA,8
8,3v2,0,SA,9
8,3v2,0,SA,10
8,3v4,0,SA,1
8,3v4,1,SA,2
8,3v4,1,SA,3
8,3v4,1,SA,4
8,3v4,1,SA,5
8,3v4,0,SA,6
8,3v4,0,SA,7
8,3v4,1,SA,8
8,3v4,1,SA,9
8,3v4,0,SA,10
8,3v5,0,SA,1
8,3v5,0,SA,2
8,3v5,1,SA,3
8,3v5,1,SA,4
8,3v5,1,SA,5
8,3v5,1,SA,6
8,3v5,0,SA,7
8,3v5,1,SA,8
8,3v5,0,SA,9
8,3v5,1,SA,10
9,3v1,1,SA,1
9,3v1,0,SA,2
9,3v1,1,SA,3
9,3v1,1,SA,4
9,3v1,0,SA,5
9,3v1,0,SA,6
9,3v1,1,SA,7
9,3v1,1,SA,8
9,3v1,1,SA,9
9,3v1,0,SA,10
9,3v2,1,SA,1
9,3v2,1,SA,2
9,3v2,1,SA,3
9,3v2,1,SA,4
9,3v2,0,SA,5
9,3v2,0,SA,6
9,3v2,0,SA,7
9,3v2,0,SA,8
9,3v2,1,SA,9
9,3v2,1,SA,10
9,3v4,1,SA,1
9,3v4,1,SA,2
9,3v4,0,SA,3
9,3v4,0,SA,4
9,3v4,1,SA,5
9,3v4,1,SA,6
9,3v4,0,SA,7
9,3v4,1,SA,8
9,3v4,0,SA,9
9,3v4,0,SA,10
9,3v5,1,SA,1
9,3v5,0,SA,2
9,3v5,0,SA,3
9,3v5,0,SA,4
9,3v5,0,SA,5
9,3v5,0,SA,6
9,3v5,0,SA,7
9,3v5,0,SA,8
9,3v5,1,SA,9
9,3v5,0,SA,10
10,3v1,1,SA,1
10,3v1,0,SA,2
10,3v1,1,SA,3
10,3v1,1,SA,4
10,3v1,1,SA,5
10,3v1,1,SA,6
10,3v1,1,SA,7
10,3v1,1,SA,8
10,3v1,1,SA,9
10,3v1,0,SA,10
10,3v2,1,SA,1
10,3v2,1,SA,2
10,3v2,0,SA,3
10,3v2,0,SA,4
10,3v2,0,SA,5
10,3v2,1,SA,6
10,3v2,0,SA,7
10,3v2,0,SA,8
10,3v2,1,SA,9
10,3v2,0,SA,10
10,3v4,1,SA,1
10,3v4,0,SA,2
10,3v4,1,SA,3
10,3v4,1,SA,4
10,3v4,1,SA,5
10,3v4,1,SA,6
10,3v4,1,SA,7
10,3v4,0,SA,8
10,3v4,0,SA,9
10,3v4,1,SA,10
10,3v5,1,SA,1
10,3v5,0,SA,2
10,3v5,1,SA,3
10,3v5,0,SA,4
10,3v5,0,SA,5
10,3v5,1,SA,6
10,3v5,1,SA,7
10,3v5,1,SA,8
10,3v5,0,SA,9
10,3v5,0,SA,10
11,3v1,1,EE,1
11,3v1,1,EE,2
11,3v1,0,EE,3
11,3v1,0,EE,4
11,3v1,1,EE,5
11,3v1,1,EE,6
11,3v1,0,EE,7
11,3v1,1,EE,8
11,3v1,0,EE,9
11,3v1,1,EE,10
11,3v2,1,EE,1
11,3v2,1,EE,2
11,3v2,1,EE,3
11,3v2,1,EE,4
11,3v2,1,EE,5
11,3v2,1,EE,6
11,3v2,1,EE,7
11,3v2,1,EE,8
11,3v2,0,EE,9
11,3v2,1,EE,10
11,3v4,1,EE,1
11,3v4,0,EE,2
11,3v4,1,EE,3
11,3v4,0,EE,4
11,3v4,1,EE,5
11,3v4,1,EE,6
11,3v4,1,EE,7
11,3v4,0,EE,8
11,3v4,1,EE,9
11,3v4,1,EE,10
11,3v5,1,EE,1
11,3v5,1,EE,2
11,3v5,1,EE,3
11,3v5,1,EE,4
11,3v5,0,EE,5
11,3v5,1,EE,6
11,3v5,1,EE,7
11,3v5,0,EE,8
11,3v5,0,EE,9
11,3v5,0,EE,10
12,3v1,1,EE,1
12,3v1,1,EE,2
12,3v1,0,EE,3
12,3v1,0,EE,4
12,3v1,0,EE,5
12,3v1,1,EE,6
12,3v1,1,EE,7
12,3v1,1,EE,8
12,3v1,0,EE,9
12,3v1,1,EE,10
12,3v2,0,EE,1
12,3v2,0,EE,2
12,3v2,1,EE,3
12,3v2,0,EE,4
12,3v2,0,EE,5
12,3v2,0,EE,6
12,3v2,0,EE,7
12,3v2,0,EE,8
12,3v2,0,EE,9
12,3v2,1,EE,10
12,3v4,0,EE,1
12,3v4,0,EE,2
12,3v4,0,EE,3
12,3v4,1,EE,4
12,3v4,1,EE,5
12,3v4,1,EE,6
12,3v4,0,EE,7
12,3v4,0,EE,8
12,3v4,0,EE,9
12,3v4,1,EE,10
12,3v5,1,EE,1
12,3v5,1,EE,2
12,3v5,1,EE,3
12,3v5,1,EE,4
12,3v5,1,EE,5
12,3v5,1,EE,6
12,3v5,0,EE,7
12,3v5,1,EE,8
12,3v5,1,EE,9
12,3v5,1,EE,10
13,3v1,1,EE,1
13,3v1,1,EE,2
13,3v1,1,EE,3
13,3v1,1,EE,4
13,3v1,0,EE,5
13,3v1,1,EE,6
13,3v1,1,EE,7
13,3v1,0,EE,8
13,3v1,1,EE,9
13,3v1,1,EE,10
13,3v2,0,EE,1
13,3v2,0,EE,2
13,3v2,0,EE,3
13,3v2,0,EE,4
13,3v2,1,EE,5
13,3v2,0,EE,6
13,3v2,1,EE,7
13,3v2,1,EE,8
13,3v2,0,EE,9
13,3v2,0,EE,10
13,3v4,0,EE,1
13,3v4,1,EE,2
13,3v4,0,EE,3
13,3v4,1,EE,4
13,3v4,0,EE,5
13,3v4,1,EE,6
13,3v4,0,EE,7
13,3v4,0,EE,8
13,3v4,1,EE,9
13,3v4,1,EE,10
13,3v5,0,EE,1
13,3v5,0,EE,2
13,3v5,1,EE,3
13,3v5,1,EE,4
13,3v5,1,EE,5
13,3v5,1,EE,6
13,3v5,1,EE,7
13,3v5,0,EE,8
13,3v5,1,EE,9
13,3v5,0,EE,10
14,3v1,1,EE,1
14,3v1,1,EE,2
14,3v1,1,EE,3
14,3v1,1,EE,4
14,3v1,1,EE,5
14,3v1,0,EE,6
14,3v1,1,EE,7
14,3v1,0,EE,8
14,3v1,1,EE,9
14,3v1,0,EE,10
14,3v2,0,EE,1
14,3v2,0,EE,2
14,3v2,0,EE,3
14,3v2,1,EE,4
14,3v2,1,EE,5
14,3v2,0,EE,6
14,3v2,0,EE,7
14,3v2,1,EE,8
14,3v2,1,EE,9
14,3v2,1,EE,10
14,3v4,0,EE,1
14,3v4,0,EE,2
14,3v4,1,EE,3
14,3v4,0,EE,4
14,3v4,1,EE,5
14,3v4,1,EE,6
14,3v4,0,EE,7
14,3v4,0,EE,8
14,3v4,0,EE,9
14,3v4,1,EE,10
14,3v5,0,EE,1
14,3v5,1,EE,2
14,3v5,1,EE,3
14,3v5,1,EE,4
14,3v5,1,EE,5
14,3v5,1,EE,6
14,3v5,1,EE,7
14,3v5,0,EE,8
14,3v5,0,EE,9
14,3v5,1,EE,10
15,3v1,1,EE,1
15,3v1,1,EE,2
15,3v1,0,EE,3
15,3v1,1,EE,4
15,3v1,1,EE,5
15,3v1,0,EE,6
15,3v1,1,EE,7
15,3v1,0,EE,8
15,3v1,1,EE,9
15,3v1,0,EE,10
15,3v2,1,EE,1
15,3v2,0,EE,2
15,3v2,1,EE,3
15,3v2,0,EE,4
15,3v2,0,EE,5
15,3v2,1,EE,6
15,3v2,1,EE,7
15,3v2,0,EE,8
15,3v2,0,EE,9
15,3v2,1,EE,10
15,3v4,1,EE,1
15,3v4,0,EE,2
15,3v4,0,EE,3
15,3v4,0,EE,4
15,3v4,0,EE,5
15,3v4,0,EE,6
15,3v4,0,EE,7
15,3v4,0,EE,8
15,3v4,1,EE,9
15,3v4,1,EE,10
15,3v5,1,EE,1
15,3v5,1,EE,2
15,3v5,1,EE,3
15,3v5,0,EE,4
15,3v5,0,EE,5
15,3v5,1,EE,6
15,3v5,1,EE,7
15,3v5,0,EE,8
15,3v5,0,EE,9
15,3v5,0,EE,10
16,3v1,0,EE,1
16,3v1,1,EE,2
16,3v1,1,EE,3
16,3v1,1,EE,4
16,3v1,0,EE,5
16,3v1,1,EE,6
16,3v1,1,EE,7
16,3v1,1,EE,8
16,3v1,1,EE,9
16,3v1,0,EE,10
16,3v2,1,EE,1
16,3v2,1,EE,2
16,3v2,0,EE,3
16,3v2,1,EE,4
16,3v2,1,EE,5
16,3v2,1,EE,6
16,3v2,0,EE,7
16,3v2,1,EE,8
16,3v2,1,EE,9
16,3v2,0,EE,10
16,3v4,0,EE,1
16,3v4,1,EE,2
16,3v4,0,EE,3
16,3v4,0,EE,4
16,3v4,0,EE,5
16,3v4,1,EE,6
16,3v4,0,EE,7
16,3v4,1,EE,8
16,3v4,1,EE,9
16,3v4,1,EE,10
16,3v5,0,EE,1
16,3v5,0,EE,2
16,3v5,0,EE,3
16,3v5,0,EE,4
16,3v5,1,EE,5
16,3v5,1,EE,6
16,3v5,0,EE,7
16,3v5,0,EE,8
16,3v5,0,EE,9
16,3v5,1,EE,10
17,3v1,1,EE,1
17,3v1,1,EE,2
17,3v1,1,EE,3
17,3v1,1,EE,4
17,3v1,0,EE,5
17,3v1,1,EE,6
17,3v1,1,EE,7
17,3v1,1,EE,8
17,3v1,1,EE,9
17,3v1,0,EE,10
17,3v2,0,EE,1
17,3v2,0,EE,2
17,3v2,1,EE,3
17,3v2,1,EE,4
17,3v2,0,EE,5
17,3v2,0,EE,6
17,3v2,1,EE,7
17,3v2,1,EE,8
17,3v2,0,EE,9
17,3v2,0,EE,10
17,3v4,0,EE,1
17,3v4,0,EE,2
17,3v4,1,EE,3
17,3v4,1,EE,4
17,3v4,0,EE,5
17,3v4,1,EE,6
17,3v4,1,EE,7
17,3v4,0,EE,8
17,3v4,0,EE,9
17,3v4,0,EE,10
17,3v5,1,EE,1
17,3v5,1,EE,2
17,3v5,0,EE,3
17,3v5,0,EE,4
17,3v5,0,EE,5
17,3v5,0,EE,6
17,3v5,1,EE,7
17,3v5,0,EE,8
17,3v5,1,EE,9
17,3v5,0,EE,10
18,3v1,1,EE,1
18,3v1,1,EE,2
18,3v1,0,EE,3
18,3v1,1,EE,4
18,3v1,1,EE,5
18,3v1,1,EE,6
18,3v1,1,EE,7
18,3v1,0,EE,8
18,3v1,0,EE,9
18,3v1,0,EE,10
18,3v2,0,EE,1
18,3v2,0,EE,2
18,3v2,0,EE,3
18,3v2,1,EE,4
18,3v2,0,EE,5
18,3v2,1,EE,6
18,3v2,0,EE,7
18,3v2,1,EE,8
18,3v2,0,EE,9
18,3v2,1,EE,10
18,3v4,0,EE,1
18,3v4,1,EE,2
18,3v4,1,EE,3
18,3v4,1,EE,4
18,3v4,0,EE,5
18,3v4,1,EE,6
18,3v4,1,EE,7
18,3v4,1,EE,8
18,3v4,0,EE,9
18,3v4,0,EE,10
18,3v5,0,EE,1
18,3v5,1,EE,2
18,3v5,0,EE,3
18,3v5,0,EE,4
18,3v5,1,EE,5
18,3v5,1,EE,6
18,3v5,1,EE,7
18,3v5,0,EE,8
18,3v5,0,EE,9
18,3v5,1,EE,10
19,3v1,0,EE,1
19,3v1,1,EE,2
19,3v1,1,EE,3
19,3v1,1,EE,4
19,3v1,1,EE,5
19,3v1,0,EE,6
19,3v1,1,EE,7
19,3v1,1,EE,8
19,3v1,1,EE,9
19,3v1,1,EE,10
19,3v2,1,EE,1
19,3v2,1,EE,2
19,3v2,0,EE,3
19,3v2,1,EE,4
19,3v2,0,EE,5
19,3v2,0,EE,6
19,3v2,1,EE,7
19,3v2,0,EE,8
19,3v2,1,EE,9
19,3v2,1,EE,10
19,3v4,1,EE,1
19,3v4,1,EE,2
19,3v4,1,EE,3
19,3v4,1,EE,4
19,3v4,0,EE,5
19,3v4,1,EE,6
19,3v4,1,EE,7
19,3v4,1,EE,8
19,3v4,0,EE,9
19,3v4,1,EE,10
19,3v5,0,EE,1
19,3v5,0,EE,2
19,3v5,0,EE,3
19,3v5,0,EE,4
19,3v5,1,EE,5
19,3v5,1,EE,6
19,3v5,1,EE,7
19,3v5,1,EE,8
19,3v5,0,EE,9
19,3v5,0,EE,10
20,3v1,1,EE,1
20,3v1,0,EE,2
20,3v1,0,EE,3
20,3v1,0,EE,4
20,3v1,0,EE,5
20,3v1,0,EE,6
20,3v1,0,EE,7
20,3v1,0,EE,8
20,3v1,1,EE,9
20,3v1,1,EE,10
20,3v2,0,EE,1
20,3v2,0,EE,2
20,3v2,1,EE,3
20,3v2,1,EE,4
20,3v2,0,EE,5
20,3v2,0,EE,6
20,3v2,1,EE,7
20,3v2,1,EE,8
20,3v2,1,EE,9
20,3v2,1,EE,10
20,3v4,1,EE,1
20,3v4,1,EE,2
20,3v4,1,EE,3
20,3v4,1,EE,4
20,3v4,1,EE,5
20,3v4,1,EE,6
20,3v4,1,EE,7
20,3v4,1,EE,8
20,3v4,1,EE,9
20,3v4,1,EE,10
20,3v5,0,EE,1
20,3v5,0,EE,2
20,3v5,0,EE,3
20,3v5,1,EE,4
20,3v5,0,EE,5
20,3v5,0,EE,6
20,3v5,1,EE,7
20,3v5,0,EE,8
20,3v5,0,EE,9
20,3v5,1,EE,10