BEEID,TEST,CHOICE,CONDITION,CNUM
1,7v9,1,POS,1
1,7v9,0,POS,2
1,7v9,1,POS,3
1,7v9,1,POS,4
1,7v9,1,POS,5
1,7v9,0,POS,6
1,7v9,1,POS,7
1,7v9,1,POS,8
1,7v9,1,POS,9
1,7v9,0,POS,10
1,11v9,0,POS,1
1,11v9,1,POS,2
1,11v9,0,POS,3
1,11v9,1,POS,4
1,11v9,1,POS,5
1,11v9,1,POS,6
1,11v9,0,POS,7
1,11v9,1,POS,8
1,11v9,1,POS,9
1,11v9,0,POS,10
1,13v15,1,POS,1
1,13v15,1,POS,2
1,13v15,1,POS,3
1,13v15,1,POS,4
1,13v15,1,POS,5
1,13v15,0,POS,6
1,13v15,1,POS,7
1,13v15,1,POS,8
1,13v15,0,POS,9
1,13v15,0,POS,10
1,control,0,POS,1
1,control,0,POS,2
1,control,1,POS,3
1,control,1,POS,4
1,control,1,POS,5
1,control,0,POS,6
1,control,0,POS,7
1,control,0,POS,8
1,control,1,POS,9
1,control,0,POS,10
2,7v9,1,NEG,1
2,7v9,1,NEG,2
2,7v9,1,NEG,3
2,7v9,1,NEG,4
2,7v9,1,NEG,5
2,7v9,1,NEG,6
2,7v9,1,NEG,7
2,7v9,1,NEG,8
2,7v9,1,NEG,9
2,7v9,1,NEG,10
2,11v9,0,NEG,1
2,11v9,0,NEG,2
2,11v9,0,NEG,3
2,11v9,1,NEG,4
2,11v9,1,NEG,5
2,11v9,0,NEG,6
2,11v9,0,NEG,7
2,11v9,0,NEG,8
2,11v9,1,NEG,9
2,11v9,0,NEG,10
2,13v15,1,NEG,1
2,13v15,1,NEG,2
2,13v15,1,NEG,3
2,13v15,1,NEG,4
2,13v15,0,NEG,5
2,13v15,0,NEG,6
2,13v15,0,NEG,7
2,13v15,0,NEG,8
2,13v15,0,NEG,9
2,13v15,0,NEG,10
2,control,1,NEG,1
2,control,1,NEG,2
2,control,0,NEG,3
2,control,0,NEG,4
2,control,1,NEG,5
2,control,0,NEG,6
2,control,0,NEG,7
2,control,1,NEG,8
2,control,1,NEG,9
2,control,0,NEG,10
3,7v9,1,POS,1
3,7v9,0,POS,2
3,7v9,0,POS,3
3,7v9,0,POS,4
3,7v9,1,POS,5
3,7v9,0,POS,6
3,7v9,1,POS,7
3,7v9,0,POS,8
3,7v9,1,POS,9
3,7v9,1,POS,10
3,11v9,1,POS,1
3,11v9,0,POS,2
3,11v9,1,POS,3
3,11v9,1,POS,4
3,11v9,0,POS,5
3,11v9,0,POS,6
3,11v9,1,POS,7
3,11v9,0,POS,8
3,11v9,1,POS,9
3,11v9,1,POS,10
3,13v15,1,POS,1
3,13v15,1,POS,2
3,13v15,1,POS,3
3,13v15,1,POS,4
3,13v15,1,POS,5
3,13v15,1,POS,6
3,13v15,0,POS,7
3,13v15,0,POS,8
3,13v15,1,POS,9
3,13v15,1,POS,10
3,control,1,POS,1
3,control,1,POS,2
3,control,1,POS,3
3,control,0,POS,4
3,control,0,POS,5
3,control,0,POS,6
3,control,1,POS,7
3,control,1,POS,8
3,control,1,POS,9
3,control,1,POS,10
4,7v9,0,NEG,1
4,7v9,0,NEG,2
4,7v9,0,NEG,3
4,7v9,1,NEG,4
4,7v9,0,NEG,5
4,7v9,0,NEG,6
4,7v9,1,NEG,7
4,7v9,1,NEG,8
4,7v9,1,NEG,9
4,7v9,0,NEG,10
4,11v9,1,NEG,1
4,11v9,1,NEG,2
4,11v9,1,NEG,3
4,11v9,1,NEG,4
4,11v9,0,NEG,5
4,11v9,0,NEG,6
4,11v9,1,NEG,7
4,11v9,1,NEG,8
4,11v9,0,NEG,9
4,11v9,0,NEG,10
4,13v15,0,NEG,1
4,13v15,0,NEG,2
4,13v15,0,NEG,3
4,13v15,1,NEG,4
4,13v15,1,NEG,5
4,13v15,0,NEG,6
4,13v15,1,NEG,7
4,13v15,1,NEG,8
4,13v15,1,NEG,9
4,13v15,1,NEG,10
4,control,1,NEG,1
4,control,1,NEG,2
4,control,0,NEG,3
4,control,0,NEG,4
4,control,0,NEG,5
4,control,1,NEG,6
4,control,0,NEG,7
4,control,0,NEG,8
4,control,0,NEG,9
4,control,0,NEG,10
5,7v9,1,POS,1
5,7v9,1,POS,2
5,7v9,1,POS,3
5,7v9,0,POS,4
5,7v9,0,POS,5
5,7v9,0,POS,6
5,7v9,0,POS,7
5,7v9,1,POS,8
5,7v9,1,POS,9
5,7v9,1,POS,10
5,11v9,1,POS,1
5,11v9,0,POS,2
5,11v9,1,POS,3
5,11v9,1,POS,4
5,11v9,0,POS,5
5,11v9,1,POS,6
5,11v9,0,POS,7
5,11v9,1,POS,8
5,11v9,0,POS,9
5,11v9,0,POS,10
5,13v15,0,POS,1
5,13v15,0,POS,2
5,13v15,0,POS,3
5,13v15,0,POS,4
5,13v15,0,POS,5
5,13v15,1,POS,6
5,13v15,0,POS,7
5,13v15,1,POS,8
5,13v15,1,POS,9
5,13v15,1,POS,10
5,control,1,POS,1
5,control,1,POS,2
5,control,1,POS,3
5,control,0,POS,4
5,control,1,POS,5
5,control,1,POS,6
5,control,0,POS,7
5,control,0,POS,8
5,control,1,POS,9
5,control,0,POS,10
6,7v9,0,NEG,1
6,7v9,1,NEG,2
6,7v9,0,NEG,3
6,7v9,1,NEG,4
6,7v9,0,NEG,5
6,7v9,1,NEG,6
6,7v9,0,NEG,7
6,7v9,1,NEG,8
6,7v9,1,NEG,9
6,7v9,1,NEG,10
6,11v9,1,NEG,1
6,11v9,1,NEG,2
6,11v9,0,NEG,3
6,11v9,0,NEG,4
6,11v9,0,NEG,5
6,11v9,1,NEG,6
6,11v9,0,NEG,7
6,11v9,0,NEG,8
6,11v9,1,NEG,9
6,11v9,0,NEG,10
6,13v15,0,NEG,1
6,13v15,0,NEG,2
6,13v15,0,NEG,3
6,13v15,0,NEG,4
6,13v15,1,NEG,5
6,13v15,1,NEG,6
6,13v15,1,NEG,7
6,13v15,0,NEG,8
6,13v15,0,NEG,9
6,13v15,1,NEG,10
6,control,1,NEG,1
6,control,0,NEG,2
6,control,0,NEG,3
6,control,0,NEG,4
6,control,1,NEG,5
6,control,1,NEG,6
6,control,0,NEG,7
6,control,0,NEG,8
6,control,0,NEG,9
6,control,1,NEG,10
7,7v9,0,POS,1
7,7v9,0,POS,2
7,7v9,0,POS,3
7,7v9,0,POS,4
7,7v9,0,POS,5
7,7v9,1,POS,6
7,7v9,1,POS,7
7,7v9,1,POS,8
7,7v9,1,POS,9
7,7v9,0,POS,10
7,11v9,0,POS,1
7,11v9,0,POS,2
7,11v9,0,POS,3
7,11v9,1,POS,4
7,11v9,1,POS,5
7,11v9,1,POS,6
7,11v9,1,POS,7
7,11v9,0,POS,8
7,11v9,0,POS,9
7,11v9,1,POS,10
7,13v15,1,POS,1
7,13v15,1,POS,2
7,13v15,0,POS,3
7,13v15,1,POS,4
7,13v15,0,POS,5
7,13v15,0,POS,6
7,13v15,1,POS,7
7,13v15,0,POS,8
7,13v15,0,POS,9
7,13v15,0,POS,10
7,control,1,POS,1
7,control,1,POS,2
7,control,0,POS,3
7,control,0,POS,4
7,control,1,POS,5
7,control,0,POS,6
7,control,0,POS,7
7,control,1,POS,8
7,control,1,POS,9
7,control,0,POS,10
8,7v9,0,NEG,1
8,7v9,0,NEG,2
8,7v9,1,NEG,3
8,7v9,1,NEG,4
8,7v9,1,NEG,5
8,7v9,0,NEG,6
8,7v9,0,NEG,7
8,7v9,1,NEG,8
8,7v9,0,NEG,9
8,7v9,1,NEG,10
8,11v9,0,NEG,1
8,11v9,0,NEG,2
8,11v9,1,NEG,3
8,11v9,1,NEG,4
8,11v9,0,NEG,5
8,11v9,1,NEG,6
8,11v9,1,NEG,7
8,11v9,0,NEG,8
8,11v9,0,NEG,9
8,11v9,1,NEG,10
8,13v15,0,NEG,1
8,13v15,0,NEG,2
8,13v15,0,NEG,3
8,13v15,0,NEG,4
8,13v15,1,NEG,5
8,13v15,0,NEG,6
8,13v15,0,NEG,7
8,13v15,1,NEG,8
8,13v15,1,NEG,9
8,13v15,0,NEG,10
8,control,1,NEG,1
8,control,1,NEG,2
8,control,0,NEG,3
8,control,1,NEG,4
8,control,1,NEG,5
8,control,1,NEG,6
8,control,0,NEG,7
8,control,1,NEG,8
8,control,1,NEG,9
8,control,0,NEG,10
9,7v9,1,POS,1
9,7v9,1,POS,2
9,7v9,1,POS,3
9,7v9,0,POS,4
9,7v9,0,POS,5
9,7v9,1,POS,6
9,7v9,1,POS,7
9,7v9,0,POS,8
9,7v9,1,POS,9
9,7v9,1,POS,10
9,11v9,1,POS,1
9,11v9,1,POS,2
9,11v9,1,POS,3
9,11v9,0,POS,4
9,11v9,0,POS,5
9,11v9,1,POS,6
9,11v9,1,POS,7
9,11v9,0,POS,8
9,11v9,1,POS,9
9,11v9,1,POS,10
9,13v15,1,POS,1
9,13v15,1,POS,2
9,13v15,1,POS,3
9,13v15,0,POS,4
9,13v15,0,POS,5
9,13v15,0,POS,6
9,13v15,0,POS,7
9,13v15,0,POS,8
9,13v15,1,POS,9
9,13v15,0,POS,10
9,control,1,POS,1
9,control,1,POS,2
9,control,1,POS,3
9,control,1,POS,4
9,control,0,POS,5
9,control,0,POS,6
9,control,1,POS,7
9,control,0,POS,8
9,control,0,POS,9
9,control,0,POS,10
10,7v9,0,NEG,1
10,7v9,0,NEG,2
10,7v9,0,NEG,3
10,7v9,1,NEG,4
10,7v9,1,NEG,5
10,7v9,0,NEG,6
10,7v9,1,NEG,7
10,7v9,0,NEG,8
10,7v9,0,NEG,9
10,7v9,0,NEG,10
10,11v9,0,NEG,1
10,11v9,1,NEG,2
10,11v9,1,NEG,3
10,11v9,1,NEG,4
10,11v9,1,NEG,5
10,11v9,1,NEG,6
10,11v9,0,NEG,7
10,11v9,1,NEG,8
10,11v9,0,NEG,9
10,11v9,1,NEG,10
10,13v15,0,NEG,1
10,13v15,0,NEG,2
10,13v15,0,NEG,3
10,13v15,1,NEG,4
10,13v15,1,NEG,5
10,13v15,1,NEG,6
10,13v15,0,NEG,7
10,13v15,0,NEG,8
10,13v15,0,NEG,9
10,13v15,0,NEG,10
10,control,0,NEG,1
10,control,1,NEG,2
10,control,1,NEG,3
10,control,1,NEG,4
10,control,0,NEG,5
10,control,0,NEG,6
10,control,1,NEG,7
10,control,0,NEG,8
10,control,0,NEG,9
10,control,0,NEG,10
11,7v9,0,POS,1
11,7v9,0,POS,2
11,7v9,1,POS,3
11,7v9,0,POS,4
11,7v9,1,POS,5
11,7v9,0,POS,6
11,7v9,0,POS,7
11,7v9,0,POS,8
11,7v9,1,POS,9
11,7v9,1,POS,10
11,11v9,1,POS,1
11,11v9,1,POS,2
11,11v9,0,POS,3
11,11v9,0,POS,4
11,11v9,1,POS,5
11,11v9,1,POS,6
11,11v9,0,POS,7
11,11v9,0,POS,8
11,11v9,1,POS,9
11,11v9,0,POS,10
11,13v15,0,POS,1
11,13v15,0,POS,2
11,13v15,1,POS,3
11,13v15,0,POS,4
11,13v15,1,POS,5
11,13v15,0,POS,6
11,13v15,0,POS,7
11,13v15,1,POS,8
11,13v15,1,POS,9
11,13v15,0,POS,10
11,control,1,POS,1
11,control,1,POS,2
11,control,0,POS,3
11,control,0,POS,4
11,control,0,POS,5
11,control,1,POS,6
11,control,0,POS,7
11,control,1,POS,8
11,control,1,POS,9
11,control,0,POS,10
12,7v9,0,NEG,1
12,7v9,0,NEG,2
12,7v9,1,NEG,3
12,7v9,0,NEG,4
12,7v9,0,NEG,5
12,7v9,0,NEG,6
12,7v9,0,NEG,7
12,7v9,1,NEG,8
12,7v9,1,NEG,9
12,7v9,1,NEG,10
12,11v9,0,NEG,1
12,11v9,0,NEG,2
12,11v9,0,NEG,3
12,11v9,1,NEG,4
12,11v9,1,NEG,5
12,11v9,0,NEG,6
12,11v9,1,NEG,7
12,11v9,1,NEG,8
12,11v9,0,NEG,9
12,11v9,1,NEG,10
12,13v15,0,NEG,1
12,13v15,0,NEG,2
12,13v15,0,NEG,3
12,13v15,0,NEG,4
12,13v15,1,NEG,5
12,13v15,1,NEG,6
12,13v15,0,NEG,7
12,13v15,1,NEG,8
12,13v15,1,NEG,9
12,13v15,0,NEG,10
12,control,1,NEG,1
12,control,1,NEG,2
12,control,1,NEG,3
12,control,1,NEG,4
12,control,0,NEG,5
12,control,1,NEG,6
12,control,1,NEG,7
12,control,0,NEG,8
12,control,0,NEG,9
12,control,0,NEG,10
13,7v9,1,POS,1
13,7v9,1,POS,2
13,7v9,1,POS,3
13,7v9,1,POS,4
13,7v9,1,POS,5
13,7v9,0,POS,6
13,7v9,0,POS,7
13,7v9,0,POS,8
13,7v9,1,POS,9
13,7v9,1,POS,10
13,11v9,1,POS,1
13,11v9,1,POS,2
13,11v9,1,POS,3
13,11v9,1,POS,4
13,11v9,0,POS,5
13,11v9,0,POS,6
13,11v9,0,POS,7
13,11v9,1,POS,8
13,11v9,0,POS,9
13,11v9,1,POS,10
13,13v15,0,POS,1
13,13v15,0,POS,2
13,13v15,1,POS,3
13,13v15,0,POS,4
13,13v15,0,POS,5
13,13v15,0,POS,6
13,13v15,1,POS,7
13,13v15,1,POS,8
13,13v15,0,POS,9
13,13v15,1,POS,10
13,control,0,POS,1
13,control,0,POS,2
13,control,1,POS,3
13,control,0,POS,4
13,control,1,POS,5
13,control,1,POS,6
13,control,0,POS,7
13,control,1,POS,8
13,control,0,POS,9
13,control,1,POS,10
14,7v9,0,NEG,1
14,7v9,0,NEG,2
14,7v9,1,NEG,3
14,7v9,0,NEG,4
14,7v9,0,NEG,5
14,7v9,1,NEG,6
14,7v9,1,NEG,7
14,7v9,1,NEG,8
14,7v9,1,NEG,9
14,7v9,1,NEG,10
14,11v9,1,NEG,1
14,11v9,1,NEG,2
14,11v9,1,NEG,3
14,11v9,1,NEG,4
14,11v9,1,NEG,5
14,11v9,1,NEG,6
14,11v9,1,NEG,7
14,11v9,1,NEG,8
14,11v9,0,NEG,9
14,11v9,1,NEG,10
14,13v15,0,NEG,1
14,13v15,0,NEG,2
14,13v15,0,NEG,3
14,13v15,1,NEG,4
14,13v15,1,NEG,5
14,13v15,1,NEG,6
14,13v15,0,NEG,7
14,13v15,0,NEG,8
14,13v15,1,NEG,9
14,13v15,1,NEG,10
14,control,1,NEG,1
14,control,1,NEG,2
14,control,1,NEG,3
14,control,1,NEG,4
14,control,0,NEG,5
14,control,0,NEG,6
14,control,0,NEG,7
14,control,0,NEG,8
14,control,0,NEG,9
14,control,0,NEG,10
15,7v9,0,POS,1
15,7v9,1,POS,2
15,7v9,0,POS,3
15,7v9,1,POS,4
15,7v9,0,POS,5
15,7v9,1,POS,6
15,7v9,0,POS,7
15,7v9,1,POS,8
15,7v9,1,POS,9
15,7v9,1,POS,10
15,11v9,0,POS,1
15,11v9,0,POS,2
15,11v9,1,POS,3
15,11v9,1,POS,4
15,11v9,0,POS,5
15,11v9,1,POS,6
15,11v9,1,POS,7
15,11v9,1,POS,8
15,11v9,0,POS,9
15,11v9,0,POS,10
15,13v15,0,POS,1
15,13v15,0,POS,2
15,13v15,1,POS,3
15,13v15,1,POS,4
15,13v15,0,POS,5
15,13v15,1,POS,6
15,13v15,1,POS,7
15,13v15,1,POS,8
15,13v15,1,POS,9
15,13v15,0,POS,10
15,control,1,POS,1
15,control,1,POS,2
15,control,1,POS,3
15,control,0,POS,4
15,control,0,POS,5
15,control,0,POS,6
15,control,1,POS,7
15,control,1,POS,8
15,control,0,POS,9
15,control,0,POS,10
16,7v9,1,NEG,1
16,7v9,1,NEG,2
16,7v9,0,NEG,3
16,7v9,0,NEG,4
16,7v9,1,NEG,5
16,7v9,1,NEG,6
16,7v9,1,NEG,7
16,7v9,1,NEG,8
16,7v9,0,NEG,9
16,7v9,1,NEG,10
16,11v9,0,NEG,1
16,11v9,1,NEG,2
16,11v9,1,NEG,3
16,11v9,1,NEG,4
16,11v9,0,NEG,5
16,11v9,1,NEG,6
16,11v9,0,NEG,7
16,11v9,0,NEG,8
16,11v9,0,NEG,9
16,11v9,1,NEG,10
16,13v15,0,NEG,1
16,13v15,1,NEG,2
16,13v15,1,NEG,3
16,13v15,0,NEG,4
16,13v15,1,NEG,5
16,13v15,0,NEG,6
16,13v15,0,NEG,7
16,13v15,1,NEG,8
16,13v15,0,NEG,9
16,13v15,0,NEG,10
16,control,0,NEG,1
16,control,0,NEG,2
16,control,1,NEG,3
16,control,1,NEG,4
16,control,0,NEG,5
16,control,0,NEG,6
16,control,1,NEG,7
16,control,0,NEG,8
16,control,0,NEG,9
16,control,1,NEG,10
17,7v9,1,POS,1
17,7v9,1,POS,2
17,7v9,1,POS,3
17,7v9,0,POS,4
17,7v9,1,POS,5
17,7v9,1,POS,6
17,7v9,0,POS,7
17,7v9,0,POS,8
17,7v9,0,POS,9
17,7v9,1,POS,10
17,11v9,0,POS,1
17,11v9,0,POS,2
17,11v9,1,POS,3
17,11v9,1,POS,4
17,11v9,1,POS,5
17,11v9,0,POS,6
17,11v9,1,POS,7
17,11v9,0,POS,8
17,11v9,0,POS,9
17,11v9,0,POS,10
17,13v15,0,POS,1
17,13v15,1,POS,2
17,13v15,0,POS,3
17,13v15,0,POS,4
17,13v15,0,POS,5
17,13v15,0,POS,6
17,13v15,0,POS,7
17,13v15,1,POS,8
17,13v15,0,POS,9
17,13v15,0,POS,10
17,control,1,POS,1
17,control,1,POS,2
17,control,1,POS,3
17,control,1,POS,4
17,control,0,POS,5
17,control,0,POS,6
17,control,0,POS,7
17,control,0,POS,8
17,control,1,POS,9
17,control,0,POS,10
18,7v9,1,NEG,1
18,7v9,0,NEG,2
18,7v9,1,NEG,3
18,7v9,0,NEG,4
18,7v9,0,NEG,5
18,7v9,0,NEG,6
18,7v9,1,NEG,7
18,7v9,0,NEG,8
18,7v9,0,NEG,9
18,7v9,1,NEG,10
18,11v9,0,NEG,1
18,11v9,0,NEG,2
18,11v9,0,NEG,3
18,11v9,1,NEG,4
18,11v9,0,NEG,5
18,11v9,0,NEG,6
18,11v9,1,NEG,7
18,11v9,0,NEG,8
18,11v9,0,NEG,9
18,11v9,1,NEG,10
18,13v15,0,NEG,1
18,13v15,1,NEG,2
18,13v15,1,NEG,3
18,13v15,1,NEG,4
18,13v15,1,NEG,5
18,13v15,0,NEG,6
18,13v15,1,NEG,7
18,13v15,0,NEG,8
18,13v15,0,NEG,9
18,13v15,0,NEG,10
18,control,0,NEG,1
18,control,1,NEG,2
18,control,0,NEG,3
18,control,1,NEG,4
18,control,0,NEG,5
18,control,1,NEG,6
18,control,1,NEG,7
18,control,0,NEG,8
18,control,0,NEG,9
18,control,0,NEG,10
19,7v9,1,POS,1
19,7v9,0,POS,2
19,7v9,0,POS,3
19,7v9,1,POS,4
19,7v9,0,POS,5
19,7v9,1,POS,6
19,7v9,1,POS,7
19,7v9,1,POS,8
19,7v9,1,POS,9
19,7v9,0,POS,10
19,11v9,1,POS,1
19,11v9,0,POS,2
19,11v9,1,POS,3
19,11v9,1,POS,4
19,11v9,1,POS,5
19,11v9,1,POS,6
19,11v9,0,POS,7
19,11v9,0,POS,8
19,11v9,0,POS,9
19,11v9,0,POS,10
19,13v15,0,POS,1
19,13v15,1,POS,2
19,13v15,1,POS,3
19,13v15,0,POS,4
19,13v15,0,POS,5
19,13v15,1,POS,6
19,13v15,0,POS,7
19,13v15,0,POS,8
19,13v15,1,POS,9
19,13v15,1,POS,10
19,control,0,POS,1
19,control,1,POS,2
19,control,1,POS,3
19,control,0,POS,4
19,control,0,POS,5
19,control,0,POS,6
19,control,1,POS,7
19,control,0,POS,8
19,control,0,POS,9
19,control,1,POS,10
20,7v9,0,NEG,1
20,7v9,1,NEG,2
20,7v9,0,NEG,3
20,7v9,0,NEG,4
20,7v9,1,NEG,5
20,7v9,1,NEG,6
20,7v9,0,NEG,7
20,7v9,1,NEG,8
20,7v9,0,NEG,9
20,7v9,1,NEG,10
20,11v9,0,NEG,1
20,11v9,0,NEG,2
20,11v9,0,NEG,3
20,11v9,1,NEG,4
20,11v9,0,NEG,5
20,11v9,1,NEG,6
20,11v9,0,NEG,7
20,11v9,0,NEG,8
20,11v9,0,NEG,9
20,11v9,1,NEG,10
20,13v15,0,NEG,1
20,13v15,1,NEG,2
20,13v15,0,NEG,3
20,13v15,1,NEG,4
20,13v15,0,NEG,5
20,13v15,1,NEG,6
20,13v15,0,NEG,7
20,13v15,0,NEG,8
20,13v15,0,NEG,9
20,13v15,1,NEG,10
20,control,0,NEG,1
20,control,0,NEG,2
20,control,1,NEG,3
20,control,0,NEG,4
20,control,0,NEG,5
20,control,1,NEG,6
20,control,0,NEG,7
20,control,1,NEG,8
20,control,0,NEG,9
20,control,0,NEG,10
